Year,City,Sport,Athlete,Country,Gender,Event,Medal
2014,Sochi,Skating,"SAVCHENKO, Aliona",GER,Women,Pairs,Bronze
2014,Sochi,Skiing,"REBENSBURG, Viktoria",GER,Women,Giant Slalom,Bronze
2014,Sochi,Skiing,"HOEFL-RIESCH, Maria",GER,Women,Super Combined,Gold
2014,Sochi,Skiing,"HOEFL-RIESCH, Maria",GER,Women,Super-G,Silver
2014,Sochi,Skiing,"BOEHLER, Stefanie",GER,Women,4X5KM Relay,Bronze
2014,Sochi,Skiing,"FESSEL, Nicole",GER,Women,4X5KM Relay,Bronze
2014,Sochi,Skiing,"HERRMANN, Denise",GER,Women,4X5KM Relay,Bronze
2014,Sochi,Skiing,"NYSTAD, Claudia",GER,Women,4X5KM Relay,Bronze
2014,Sochi,Skiing,"FRENZEL, Eric",GER,Men,Ind. K90 (70M),Gold
2014,Sochi,Skiing,"RIESSLE, Fabian",GER,Men,Sprint K120,Bronze
2014,Sochi,Skiing,"FRENZEL, Eric",GER,Men,"Team, 4X5 KM",Silver
2014,Sochi,Skiing,"KIRCHEISEN, Bjoern",GER,Men,"Team, 4X5 KM",Silver
2014,Sochi,Skiing,"RIESSLE, Fabian",GER,Men,"Team, 4X5 KM",Silver
2014,Sochi,Skiing,"RYDZEK, Johannes",GER,Men,"Team, 4X5 KM",Silver
2014,Sochi,Skiing,"FREUND, Severin",GER,Men,Teams,Gold
2014,Sochi,Skiing,"KRAUS, Marinus",GER,Men,Teams,Gold
2014,Sochi,Skiing,"WANK, Andreas",GER,Men,Teams,Gold
2014,Sochi,Skiing,"WELLINGER, Andreas",GER,Men,Teams,Gold
2014,Sochi,Skiing,"VOGT, Carina",GER,Women,K90 Individual,Gold
2014,Sochi,Skiing,"KARSTENS, Anke",GER,Women,Parallel Slalom,Silver
2014,Sochi,Skiing,"KOBER, Amelie",GER,Women,Parallel Slalom,Bronze
